address,city,zip,beds,bathf,bathp,carg,price,pid,sqft,lotsize,soldat,listedat,schname,schaddr,schgd,schdist,schdstr
3459 James Avenue N,Minneapolis,55412,3,1,0,2,125000,pid_19919612/,1348,,,,,,,,
1663 Nevada Avenue E,Saint Paul,55106,3,1,0,2,160000,pid_19790916/,1205,,,,,,,,
459 Laurel Avenue,Saint Paul,55102,3,2,1,3,448000,pid_19779919/,2038,,,,,,,,
2129 Waukon Avenue,Saint Paul,55119,3,1,0,2,139900,pid_19772026/,983,,,,,,,,
2231 Hillside Avenue,Saint Paul,55108,3,1,1,3,445000,pid_19688817/,2685,,,,,,,,
5933 Park Avenue,Minneapolis,55417,3,1,1,3,273500,pid_19682006/,2066,,,,,,,,
1027 Minnehaha Avenue W,Saint Paul,55104,2,1,1,2,159000,pid_19390740/,1363,,,,,,,,
5345 1st Avenue S,Minneapolis,55419,3,1,0,2,265000,pid_19257642/,1700,,,,,,,,
1990 Ivy Avenue E,Saint Paul,55119,4,2,0,3,214900,pid_19123398/,1880,,,,,,,,
280 Winona Street E,Saint Paul,55107,3,1,1,3,180900,pid_18582915/,1000,,,,,,,,
4904 Humboldt Lane N,Minneapolis,55430,3,1,2,3,338545,pid_18277317/,1910,,,,,,,,
2001 Morgan Avenue,Saint Paul,55116,3,1,1,3,259900,pid_18274564/,975,,,,,,,,
1312 Russell Avenue N,Minneapolis,55411,3,1,0,3,138000,pid_17048384/,1093,,,,,,,,
